,avg_rating,title,genres,release_year,relevant_tags,relevan_tags
2283,2.422374429223744,Happily N'Ever After,Animation|Children|Comedy,2007,"animated, animation, cartoon, computer animation, fairy tale","animated, animation, cartoon, computer animation, fairy tale"
2284,2.5779220779220777,Home of the Brave,Action|Drama|War,2007,"war, war movie","war, war movie"
2286,3.3070456365092076,Alpha Dog,Crime|Drama,2007,"crime, true story","crime, true story"
2287,2.871459694989107,"Hitcher, The",Action|Horror|Thriller,2007,serial killer,serial killer
2289,3.548476454293629,Waitress,Comedy|Drama|Romance,2007,doctors,doctors
2290,2.875886524822695,Blood and Chocolate,Drama|Fantasy|Horror|Romance,2007,teen,teen
2291,1.4614882506527416,Epic Movie,Adventure|Comedy,2007,"dumb but funny, horrible, idiotic, stupid, stupid as hell, stupidity, lame","dumb but funny, horrible, idiotic, stupid, stupid as hell, stupidity, lame"
2292,3.0797413793103448,Hannibal Rising,Drama|Horror|Thriller,2007,serial killer,serial killer
2293,1.8629343629343629,Norbit,Comedy|Romance,2007,dumb but funny,dumb but funny
2296,3.832259377331615,Ratatouille,Animation|Children|Drama,2007,"animated, animation, cartoon, computer animation, imdb top 250, oscar (best animated feature)","animated, animation, cartoon, computer animation, imdb top 250, oscar (best animated feature)"
2300,2.4796292057679103,Ghost Rider,Action|Fantasy|Thriller,2007,"comic book, comics, cancer, dynamic cgi action, horrible, good versus evil","comic book, comics, cancer, dynamic cgi action, horrible, good versus evil"
2301,3.3125,Music and Lyrics,Comedy|Romance,2007,music,music
2303,3.197584541062802,Next,Action|Sci-Fi|Thriller,2007,future,future
2305,3.788289688398477,Zodiac,Crime|Drama|Thriller,2007,"cinematography, crime, murder, police investigation, serial killer, true story, detective, murder mystery","cinematography, crime, murder, police investigation, serial killer, true story, detective, murder mystery"
2308,3.554326268714758,300,Action|Fantasy|War|IMAX,2007,"blood, comic book, dynamic cgi action, epic, factual, graphic novel, mythology, violent, visceral, war, gory, violence","blood, comic book, dynamic cgi action, epic, factual, graphic novel, mythology, violent, visceral, war, gory, violence"
2310,3.1564417177914113,"Last Mimzy, The",Adventure|Children|Sci-Fi,2007,"future, futuristic, sci fi, sci-fi, science fiction, scifi","future, futuristic, sci fi, sci-fi, science fiction, scifi"
2311,3.6147753236862146,Shooter,Action|Drama|Thriller,2007,military,military
2312,2.481240981240981,"Hills Have Eyes II, The",Horror|Thriller,2007,"idiotic, mutants, violence","idiotic, mutants, violence"
2313,2.843525179856115,TMNT (Teenage Mutant Ninja Turtles),Action|Adventure|Animation|Children|Comedy|Fantasy,2007,"animation, cartoon, comic book, computer animation","animation, cartoon, comic book, computer animation"
2315,3.5279747832939323,"Lookout, The",Crime|Drama|Thriller,2007,heist,heist
2316,3.039906625166741,Blades of Glory,Comedy|Romance,2007,"dumb but funny, funny, idiotic","dumb but funny, funny, idiotic"
